COMPOSITE TABLE
	s	r	i	j		arrivalTimeAux
!	---------	---------	---------		--------		--------	
	1	6201	18463	18846		1
	1	6201	18846	18828		2
	1	6201	18828	18845		3
	1	6201	18845	18829		4
	1	6201	18829	18851		5
	1	6201	18851	18439		6
	1	6201	18439	18463		7
	1	6201	18463	18942		8
	1	6201	18942	19055		9
	1	6201	19055	19053		10
	1	6201	19053	19444		11
	1	6201	19444	19462		12
	1	6201	19462	18955		13
	1	6201	18955	18463		14
	1	6202	18463	18846		1
	1	6202	18846	18828		2
	1	6202	18828	18845		3
	1	6202	18845	18829		4
	1	6202	18829	18851		5
	1	6202	18851	18439		6
	1	6202	18439	18463		7
	1	6202	18463	18972		8
	1	6202	18972	18942		9
	1	6202	18942	19053		10
	1	6202	19053	19444		11
	1	6202	19444	19462		12
	1	6202	19462	18955		13
	1	6202	18955	18463		14
