Tail	Head	Cost	E[Time]	Fft	Sigma(Time)
1	2	1014	365	360.0	5
1	3	676	245	240.0	5
2	1	1014	365	360.0	5
2	6	845	399	300.0	23
3	1	676	245	240.0	5
3	4	676	261	240.0	5
3	12	676	246	240.0	5
4	3	676	261	240.0	5
4	5	338	143	120.0	5
4	11	1014	433	360.0	15
5	4	338	144	120.0	5
5	6	676	605	240.0	129
5	9	845	584	300.0	89
6	2	845	400	300.0	24
6	5	676	606	240.0	130
6	8	338	886	120.0	391
7	8	507	338	180.0	48
7	18	338	128	120.0	5
8	6	338	894	120.0	396
8	7	507	335	180.0	47
8	9	1690	915	600.0	85
8	16	845	648	300.0	116
9	5	845	585	300.0	90
9	8	1690	907	600.0	83
9	10	507	345	180.0	51
10	9	507	348	180.0	52
10	11	845	749	300.0	159
10	15	1014	828	360.0	160
10	16	676	1210	240.0	441
10	17	1352	983	480.0	163
11	4	1014	438	360.0	16
11	10	845	737	300.0	153
11	12	1014	820	360.0	157
11	14	676	826	240.0	235
12	3	676	246	240.0	5
12	11	1014	829	360.0	160
12	13	507	186	180.0	5
13	12	507	186	180.0	5
13	24	676	1064	240.0	360
14	11	676	835	240.0	239
14	15	845	739	300.0	154
14	23	676	549	240.0	105
15	10	1014	833	360.0	162
15	14	845	747	300.0	158
15	19	507	264	180.0	22
15	22	507	550	180.0	142
16	8	845	651	300.0	117
16	10	676	1219	240.0	447
16	17	338	575	120.0	203
16	18	507	194	180.0	5
17	10	1352	983	480.0	163
17	16	338	573	120.0	202
17	19	338	451	120.0	136
18	7	338	128	120.0	5
18	16	507	194	180.0	5
18	20	676	260	240.0	5
19	15	507	265	180.0	22
19	17	338	449	120.0	135
19	20	676	572	240.0	115
20	18	676	260	240.0	5
20	19	676	575	240.0	117
20	21	1014	495	360.0	33
20	22	845	467	300.0	46
21	20	1014	489	360.0	32
21	22	338	257	120.0	45
21	24	507	720	180.0	228
22	15	507	548	180.0	141
22	20	845	467	300.0	46
22	21	338	257	120.0	45
22	23	676	746	240.0	195
23	14	676	549	240.0	105
23	22	676	739	240.0	192
23	24	338	230	120.0	34
24	13	676	1062	240.0	358
24	21	507	710	180.0	222
24	23	338	228	120.0	33
