Depot: 15427
Number of vehicles30
Route	Cost
[15427, 17260, 17220, 17221, 17224, 15536, 15427]	246.98100000000002
[15427, 15233, 15136, 15220, 15089, 15340, 15427]	91.567
[15427, 15233, 15376, 15342, 15360, 15427]	84.945
[15427, 15143, 16056, 15147, 15668, 15427]	104.83200000000002
[15427, 15870, 16657, 16674, 16679, 15427]	308.672
[15427, 16627, 15757, 15714, 15943, 15928, 15936, 15427]	199.05899999999994
[15427, 16238, 16224, 15753, 15955, 15952, 15942, 15928, 15936, 15427]	205.912
[15427, 15313, 15427]	4.396
[15427, 16049, 16239, 15957, 15928, 15697, 15427]	222.159
[15427, 16116, 16342, 16049, 15427]	170.345
[15427, 15410, 15478, 15697, 15701, 16212, 15143, 15427]	171.80799999999996
[15427, 15477, 15445, 15628, 15427]	93.359
[15427, 15713, 15701, 17260, 16679, 15537, 17267, 15427]	281.7079999999999
Depot: 18463
Number of vehicles30
Route	Cost
[18463, 18037, 18932, 19111, 18463]	147.37099999999998
[18463, 16940, 16917, 17763, 18463]	195.363
[18463, 19014, 19113, 19032, 19139, 19151, 19148, 19118, 18463]	179.669
[18463, 17601, 17522, 19605, 18218, 18222, 18463]	185.82199999999997
[18463, 19067, 19054, 19021, 18974, 19477, 18932, 18463, 18453, 18623, 18828, 18829, 18837, 18463]	277.27
[18463, 17017, 17832, 17948, 17985, 18463]	165.613
[18463, 18354, 18091, 18352, 18435, 18463]	81.63399999999999
[18463, 17889, 17832, 18655, 18634, 18617, 18463]	164.26199999999997
[18463, 18066, 19605, 19601, 17557, 17519, 17406, 18463]	227.451
[18463, 18049, 19503, 19365, 17519, 17007, 17059, 17076, 17049, 18463]	274.22499999999997
[18463, 19503, 19522, 19149, 19137, 18463]	183.792
[18463, 17745, 17366, 17321, 17560, 17601, 18463]	293.07599999999996
[18463, 18415, 18847, 18853, 18463]	122.54199999999999
[18463, 18509, 18463]	22.022
[18463, 19520, 17532, 17007, 17058, 17014, 17853, 18463]	276.59099999999995
